City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,ak-dovurak,51.1833,90.6,26.07,38,19,0.25,RU,1719714240
236,ulanhot,46.0833,122.0833,21.9,71,100,8.09,CN,1719714241
237,polyarnyy,69.1989,33.4478,11.65,95,100,0.48,RU,1719714242
238,okhotsk,59.3833,143.3,11.4,74,94,1.26,RU,1719714244
239,flying fish cove,-10.4217,105.6791,26.82,89,100,7.2,CX,1719714245
240,coka,45.9425,20.1433,20.53,68,5,2.69,RS,1719714246
241,kyzyl,51.7,94.45,27.88,29,71,1.02,RU,1719714247
242,patnanungan,14.7833,122.1833,29.55,73,52,3.21,PH,1719714249
243,salumbar,24.1333,74.05,28.54,77,100,5.4,IN,1719714115
244,tha yang,12.9577,99.9055,31.0,60,92,2.02,TH,1719714252
245,novyy urengoy,66.0833,76.6333,10.31,58,10,2.05,RU,1719714256
246,tosontsengel,48.7567,98.2839,20.57,35,2,1.67,MN,1719714257
247,muborak,39.2553,65.1528,28.21,25,2,7.65,UZ,1719714258
248,west bay,19.3667,-81.4167,29.04,84,20,4.12,KY,1719714259
249,stjordalshalsen,63.4681,10.9262,9.95,93,40,2.57,NO,1719714261
250,manggar,-2.8833,108.2667,28.37,78,100,5.84,ID,1719714048
251,bahia blanca,-38.7196,-62.2724,3.97,54,94,3.54,AR,1719714263
252,celestun,20.8667,-90.4,23.94,89,100,10.23,MX,1719714265
253,lata,40.1629,-8.3327,16.07,91,97,0.15,PT,1719714266
254,alice springs,-23.7,133.8833,14.75,88,100,4.63,AU,1719714267
255,bikin,46.8161,134.26,20.08,97,100,1.26,RU,1719714268
256,urangan,-25.3,152.9,20.26,80,0,3.7,AU,1719714255
257,sao vicente,-23.9631,-46.3919,20.15,89,100,3.06,BR,1719714271
258,port blair,11.6667,92.75,28.02,83,40,4.12,IN,1719714272
259,fisterra,42.9049,-9.2629,17.23,95,100,1.33,ES,1719714273
260,pacasmayo,-7.4006,-79.5714,17.55,88,2,5.44,PE,1719714275
261,calama,-22.4667,-68.9333,4.27,10,0,8.23,CL,1719713977
262,ashkasham,36.6833,71.5333,12.88,62,8,1.04,AF,1719714277
263,ciudad lazaro cardenas,17.9583,-102.2,25.56,85,99,1.86,MX,1719714278
264,igrim,63.1906,64.4162,12.86,59,80,3.35,RU,1719714280
265,amos,48.5669,-78.1162,15.04,99,82,2.1,CA,1719714281
266,carutapera,-1.195,-46.02,24.76,94,95,3.63,BR,1719714282
